0,2.0,2.0
1,1.0,1.0
2,2.0,1.0
3,2.0,2.0
4,2.0,1.0
5,1.0,1.0
6,1.0,2.0
7,2.0,1.0
8,1.0,1.0
9,2.0,2.0
10,2.0,1.0
11,1.0,1.0
12,1.0,2.0
13,1.0,2.0
14,2.0,2.0
15,1.0,1.0
16,1.0,1.0
17,1.0,2.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,2.0,1.0
22,1.0,2.0
23,2.0,1.0
24,1.0,1.0
25,2.0,1.0
26,2.0,1.0
27,1.0,1.0
28,2.0,1.0
29,2.0,2.0
30,1.0,1.0
31,1.0,1.0
32,2.0,2.0
33,2.0,1.0
34,1.0,1.0
35,2.0,2.0
36,3.0,2.0
37,1.0,2.0
38,1.0,1.0
39,2.0,2.0
40,2.0,2.0
41,1.0,1.0
42,1.0,1.0
43,2.0,1.0
44,2.0,2.0
45,2.0,1.0
46,1.0,2.0
47,2.0,2.0
48,2.0,1.0
49,2.0,1.0
